epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1045,0,60.7046,0,0,0,0,0,0,64.8042,0,0,0,0
2,11.2792,0,60.7482,0,0,0,0,0,0,64.8355,0,1.9604e-05,1.9604e-05,1.9604e-05
3,12.1822,0,60.4068,0,0,0,0,0,0,64.8541,0,3.8416e-05,3.8416e-05,3.8416e-05
4,13.0874,0,59.8378,0,0,0,0,0,0,64.8651,0,5.6436e-05,5.6436e-05,5.6436e-05
5,13.9971,0,59.5069,0,0,0,0,0,0,64.9064,0,7.3664e-05,7.3664e-05,7.3664e-05
6,14.9056,0,58.8724,0,0,0,0,0,0,64.953,0,9.01e-05,9.01e-05,9.01e-05
7,15.7992,0,58.676,0,0,0,0,0,0,65.0318,0,0.000105744,0.000105744,0.000105744
8,16.7108,0,58.1782,0,0,0,0,0,0,65.1204,0,0.000120596,0.000120596,0.000120596
9,17.6123,0,57.8053,0,0,0,0,0,0,65.2189,0,0.000134656,0.000134656,0.000134656
10,18.5072,0,57.2357,0,0,0,0,0,0,65.3021,0,0.000147924,0.000147924,0.000147924
11,19.4049,0,56.6174,0,0,0,0,0,0,65.3478,0,0.0001604,0.0001604,0.0001604
12,20.3062,0,55.8677,0,0,0,0,0,0,65.3911,0,0.000172084,0.000172084,0.000172084
13,21.2347,0,55.1141,0,0,0,0,0,0,65.4546,0,0.000182976,0.000182976,0.000182976
14,22.1438,0,54.3133,0,0,0,0,0,0,65.5112,0,0.000193076,0.000193076,0.000193076
15,23.0298,0,53.2534,0,0,0,0,0,0,65.5237,0,0.000202384,0.000202384,0.000202384
16,23.9298,0,52.4177,0,0,0,0,0,0,65.5471,0,0.0002109,0.0002109,0.0002109
17,24.8355,0,51.2492,0,0,0,0,0,0,65.5029,0,0.000218624,0.000218624,0.000218624
18,25.7051,0,50.5677,0,0,0,0,0,0,65.5029,0,0.000225556,0.000225556,0.000225556
19,26.6051,0,50.129,0,0,0,0,0,0,65.3895,0,0.000231696,0.000231696,0.000231696
20,27.4649,0,49.1781,0,0,0,0,0,0,65.3895,0,0.000237044,0.000237044,0.000237044
21,28.3387,0,49.2822,0,0,0,0,0,0,65.326,0,0.0002416,0.0002416,0.0002416
22,29.1722,0,48.2377,0,0,0,0,0,0,65.326,0,0.000245364,0.000245364,0.000245364
23,30.0396,0,48.395,0,0,0,0,0,0,65.097,0,0.000248336,0.000248336,0.000248336
24,30.8752,0,47.4876,0,0,0,0,0,0,65.097,0,0.000250516,0.000250516,0.000250516
25,31.757,0,47.2777,0,0,0,0,0,0,64.8166,0,0.000251904,0.000251904,0.000251904
26,32.6093,0,47.1026,0,0,0,0,0,0,64.8166,0,0.0002525,0.0002525,0.0002525
27,33.5314,0,46.7786,0,0,0,0,0,0,64.6457,0,0.000252304,0.000252304,0.000252304
28,34.3993,0,45.9153,0,0,0,0,0,0,64.6457,0,0.000251316,0.000251316,0.000251316
29,35.3152,0,45.8779,0,0,0,0,0,0,64.5043,0,0.000249536,0.000249536,0.000249536
30,36.1743,0,45.4559,0,0,0,0,0,0,64.5043,0,0.000246964,0.000246964,0.000246964
31,37.0353,0,45.0769,0,0,0,0,0,0,64.3258,0,0.0002436,0.0002436,0.0002436
32,37.8818,0,44.3922,0,0,0,0,0,0,64.3258,0,0.000239444,0.000239444,0.000239444
33,38.7839,0,44.5532,0,0,0,0,0,0,64.059,0,0.000234496,0.000234496,0.000234496
34,39.6564,0,43.8764,0,0,0,0,0,0,64.059,0,0.000228756,0.000228756,0.000228756
35,40.5665,0,43.8142,0,0,0,0,0,0,63.9021,0,0.000222224,0.000222224,0.000222224
36,41.4151,0,46.0715,0,0,0,0,0,0,63.9021,0,0.0002149,0.0002149,0.0002149
37,42.2896,0,45.9114,0,0,0,0,0,0,63.5432,0,0.000206784,0.000206784,0.000206784
38,43.1585,0,43.2135,0,0,0,0,0,0,63.5432,0,0.000197876,0.000197876,0.000197876
39,44.0551,0,43.1231,0,0,0,0,0,0,63.0111,0,0.000188176,0.000188176,0.000188176
40,44.9328,0,42.949,0,0,0,0,0,0,63.0111,0,0.000177684,0.000177684,0.000177684
41,45.8346,0,42.9551,0,0,0,0,0,0,62.6512,0,0.0001664,0.0001664,0.0001664
42,46.7173,0,42.8754,0,0,0,0,0,0,62.6512,0,0.000154324,0.000154324,0.000154324
43,47.665,0,42.5979,0,0,0,0,0,0,62.3529,0,0.000141456,0.000141456,0.000141456
44,48.5677,0,42.5855,0,0,0,0,0,0,62.3529,0,0.000127796,0.000127796,0.000127796
45,49.4408,0,42.5507,0,0,0,0,0,0,61.8874,0,0.000113344,0.000113344,0.000113344
46,50.29,0,42.2968,0,0,0,0,0,0,61.8874,0,9.81e-05,9.81e-05,9.81e-05
47,51.1896,0,42.4002,0,0,0,0,0,0,61.4049,0,8.2064e-05,8.2064e-05,8.2064e-05
48,52.0614,0,42.0258,0,0,0,0,0,0,61.4049,0,6.5236e-05,6.5236e-05,6.5236e-05
49,52.971,0,41.9084,0,0,0,0,0,0,60.9328,0,4.7616e-05,4.7616e-05,4.7616e-05
50,53.8247,0,41.8009,0,0,0,0,0,0,60.9328,0,2.9204e-05,2.9204e-05,2.9204e-05
