epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.571,2.96241,6.2615,2.21667,0.00098,0.29412,0.00065,9e-05,3.93656,8.44055,2.81543,2e-05,2e-05,2e-05
2,15.8099,3.92503,5.84038,3.66808,0.00137,0.41176,0.00097,0.00015,3.71283,8.09727,2.68634,5.8812e-05,5.8812e-05,5.8812e-05
3,17.8682,3.27864,4.78441,2.54205,0.00137,0.41176,0.00103,0.00025,3.31472,7.61914,2.42355,9.604e-05,9.604e-05,9.604e-05
4,19.8557,1.61121,6.55616,1.25304,0.00157,0.47059,0.00154,0.00048,3.03334,6.82748,2.29154,0.000131684,0.000131684,0.000131684
5,22.1725,2.57403,4.92636,2.11258,0.00196,0.58824,0.00252,0.00092,2.93137,6.47563,2.1542,0.000165744,0.000165744,0.000165744
6,24.2255,2.63553,5.85486,1.92622,0.00235,0.70588,0.00423,0.00132,2.67378,6.04656,1.90036,0.00019822,0.00019822,0.00019822
7,26.6189,2.59142,6.13339,1.89668,0.00255,0.76471,0.00843,0.00162,2.55515,6.13366,1.835,0.000229112,0.000229112,0.000229112
8,28.6452,1.20402,6.66165,0.94896,0.00275,0.82353,0.01479,0.00334,2.40757,5.55717,1.65303,0.00025842,0.00025842,0.00025842
9,30.6749,2.20795,5.0124,1.76141,0.00275,0.82353,0.0104,0.00227,2.41118,5.57172,1.60911,0.000286144,0.000286144,0.000286144
10,32.6101,2.78458,5.11788,1.9915,0.00255,0.76471,0.00771,0.00225,2.27436,5.58465,1.5268,0.000312284,0.000312284,0.000312284
11,34.5666,1.16641,6.00724,0.91808,0.00294,0.88235,0.01109,0.00329,2.1868,5.46349,1.4415,0.00033684,0.00033684,0.00033684
12,36.481,2.71963,4.124,2.12416,0.00314,0.94118,0.01129,0.0031,2.04534,5.74948,1.36607,0.000359812,0.000359812,0.000359812
13,38.3921,1.14942,6.01354,0.93395,0.00333,1,0.01376,0.0041,2.04287,5.51684,1.39061,0.0003812,0.0003812,0.0003812
14,40.5479,2.03347,3.63758,1.66652,0.00314,0.94118,0.01297,0.00538,2.03956,5.65361,1.39135,0.000401004,0.000401004,0.000401004
15,42.4233,2.61322,4.06917,2.01969,0.00314,0.94118,0.01748,0.00678,2.09044,5.5209,1.42754,0.000419224,0.000419224,0.000419224
16,44.3843,1.97526,3.98284,1.65368,0.00333,1,0.02527,0.00901,2.14053,5.121,1.49828,0.00043586,0.00043586,0.00043586
17,46.4313,1.54174,4.47468,1.37706,0.00333,1,0.03688,0.01207,2.17866,4.83691,1.51039,0.000450912,0.000450912,0.000450912
18,48.4962,1.65324,3.72778,1.41459,0.00333,1,0.0582,0.01657,2.14573,4.91086,1.48227,0.00046438,0.00046438,0.00046438
19,50.4974,1.90133,3.86936,1.50718,0.00333,1,0.05846,0.01862,2.02917,4.83727,1.45205,0.000476264,0.000476264,0.000476264
20,52.5995,1.81163,4.15977,1.57151,0.00333,1,0.05678,0.017,1.99937,4.75337,1.45537,0.000486564,0.000486564,0.000486564
21,56.2313,2.05068,4.01911,1.55811,0.00333,1,0.04044,0.01098,1.97897,4.99047,1.47975,0.00049528,0.00049528,0.00049528
22,58.8398,2.9031,5.24559,2.42189,0.00333,1,0.03878,0.01066,1.84201,5.17815,1.45658,0.000502412,0.000502412,0.000502412
